timestamp_unix,timestamp_iso,participant_full_id,accelerometers_std_g,missing_value_reason
1711619940000,2024-03-28T09:59:00Z,288-1-1-116,,device_not_recording
1711620000000,2024-03-28T10:00:00Z,288-1-1-116,,device_not_recording
1711620060000,2024-03-28T10:01:00Z,288-1-1-116,,device_not_recording
1711620120000,2024-03-28T10:02:00Z,288-1-1-116,,device_not_recording
1711620180000,2024-03-28T10:03:00Z,288-1-1-116,,device_not_recording
1711620240000,2024-03-28T10:04:00Z,288-1-1-116,,device_not_recording
1711620300000,2024-03-28T10:05:00Z,288-1-1-116,,device_not_recording
1711620360000,2024-03-28T10:06:00Z,288-1-1-116,,device_not_recording
1711620420000,2024-03-28T10:07:00Z,288-1-1-116,,device_not_recording
1711620480000,2024-03-28T10:08:00Z,288-1-1-116,,device_not_recording
1711620540000,2024-03-28T10:09:00Z,288-1-1-116,,device_not_recording
1711620600000,2024-03-28T10:10:00Z,288-1-1-116,,device_not_recording
1711620660000,2024-03-28T10:11:00Z,288-1-1-116,,device_not_recording
1711620720000,2024-03-28T10:12:00Z,288-1-1-116,,device_not_recording
1711620780000,2024-03-28T10:13:00Z,288-1-1-116,,device_not_recording
1711620840000,2024-03-28T10:14:00Z,288-1-1-116,,device_not_recording
1711620900000,2024-03-28T10:15:00Z,288-1-1-116,,device_not_recording
1711620960000,2024-03-28T10:16:00Z,288-1-1-116,,device_not_recording
1711621020000,2024-03-28T10:17:00Z,288-1-1-116,,device_not_recording
1711621080000,2024-03-28T10:18:00Z,288-1-1-116,,device_not_recording
1711621140000,2024-03-28T10:19:00Z,288-1-1-116,,device_not_recording
1711621200000,2024-03-28T10:20:00Z,288-1-1-116,,device_not_recording
1711621260000,2024-03-28T10:21:00Z,288-1-1-116,,device_not_recording
1711621320000,2024-03-28T10:22:00Z,288-1-1-116,,device_not_recording
1711621380000,2024-03-28T10:23:00Z,288-1-1-116,,device_not_recording
1711621440000,2024-03-28T10:24:00Z,288-1-1-116,,device_not_recording
1711621500000,2024-03-28T10:25:00Z,288-1-1-116,,device_not_recording
1711621560000,2024-03-28T10:26:00Z,288-1-1-116,,device_not_recording
1711621620000,2024-03-28T10:27:00Z,288-1-1-116,,device_not_recording
1711621680000,2024-03-28T10:28:00Z,288-1-1-116,,device_not_recording
1711621740000,2024-03-28T10:29:00Z,288-1-1-116,,device_not_recording
1711621800000,2024-03-28T10:30:00Z,288-1-1-116,,device_not_recording
1711621860000,2024-03-28T10:31:00Z,288-1-1-116,,device_not_recording
1711621920000,2024-03-28T10:32:00Z,288-1-1-116,,device_not_recording
1711621980000,2024-03-28T10:33:00Z,288-1-1-116,,device_not_recording
1711622040000,2024-03-28T10:34:00Z,288-1-1-116,,device_not_recording
1711622100000,2024-03-28T10:35:00Z,288-1-1-116,,device_not_recording
1711622160000,2024-03-28T10:36:00Z,288-1-1-116,,device_not_recording
1711622220000,2024-03-28T10:37:00Z,288-1-1-116,,device_not_recording
1711622280000,2024-03-28T10:38:00Z,288-1-1-116,,device_not_recording
1711622340000,2024-03-28T10:39:00Z,288-1-1-116,,device_not_recording
1711622400000,2024-03-28T10:40:00Z,288-1-1-116,,device_not_recording
1711622460000,2024-03-28T10:41:00Z,288-1-1-116,,device_not_recording
1711622520000,2024-03-28T10:42:00Z,288-1-1-116,,device_not_recording
1711622580000,2024-03-28T10:43:00Z,288-1-1-116,,device_not_recording
1711622640000,2024-03-28T10:44:00Z,288-1-1-116,,device_not_recording
1711622700000,2024-03-28T10:45:00Z,288-1-1-116,,device_not_recording
1711622760000,2024-03-28T10:46:00Z,288-1-1-116,,device_not_recording
1711622820000,2024-03-28T10:47:00Z,288-1-1-116,,device_not_recording
1711622880000,2024-03-28T10:48:00Z,288-1-1-116,,device_not_recording
1711622940000,2024-03-28T10:49:00Z,288-1-1-116,,device_not_recording
1711623000000,2024-03-28T10:50:00Z,288-1-1-116,,device_not_recording
1711623060000,2024-03-28T10:51:00Z,288-1-1-116,,device_not_recording
1711623120000,2024-03-28T10:52:00Z,288-1-1-116,,device_not_recording
1711623180000,2024-03-28T10:53:00Z,288-1-1-116,,device_not_recording
1711623240000,2024-03-28T10:54:00Z,288-1-1-116,,device_not_recording
1711623300000,2024-03-28T10:55:00Z,288-1-1-116,,device_not_recording
1711623360000,2024-03-28T10:56:00Z,288-1-1-116,,device_not_recording
1711623420000,2024-03-28T10:57:00Z,288-1-1-116,,device_not_recording
1711623480000,2024-03-28T10:58:00Z,288-1-1-116,,device_not_recording
1711623540000,2024-03-28T10:59:00Z,288-1-1-116,,device_not_recording
1711623600000,2024-03-28T11:00:00Z,288-1-1-116,,device_not_recording
1711623660000,2024-03-28T11:01:00Z,288-1-1-116,,device_not_recording
1711623720000,2024-03-28T11:02:00Z,288-1-1-116,,device_not_recording
1711623780000,2024-03-28T11:03:00Z,288-1-1-116,,device_not_recording
1711623840000,2024-03-28T11:04:00Z,288-1-1-116,,device_not_recording
1711623900000,2024-03-28T11:05:00Z,288-1-1-116,,device_not_recording
1711623960000,2024-03-28T11:06:00Z,288-1-1-116,,device_not_recording
1711624020000,2024-03-28T11:07:00Z,288-1-1-116,,device_not_recording
1711624080000,2024-03-28T11:08:00Z,288-1-1-116,,device_not_recording
1711624140000,2024-03-28T11:09:00Z,288-1-1-116,,device_not_recording
1711624200000,2024-03-28T11:10:00Z,288-1-1-116,,device_not_recording
1711624260000,2024-03-28T11:11:00Z,288-1-1-116,,device_not_recording
1711624320000,2024-03-28T11:12:00Z,288-1-1-116,,device_not_recording
1711624380000,2024-03-28T11:13:00Z,288-1-1-116,,device_not_recording
1711624440000,2024-03-28T11:14:00Z,288-1-1-116,,device_not_recording
1711624500000,2024-03-28T11:15:00Z,288-1-1-116,,device_not_recording
1711624560000,2024-03-28T11:16:00Z,288-1-1-116,,device_not_recording
1711624620000,2024-03-28T11:17:00Z,288-1-1-116,,device_not_recording
1711624680000,2024-03-28T11:18:00Z,288-1-1-116,,device_not_recording
1711624740000,2024-03-28T11:19:00Z,288-1-1-116,,device_not_recording
1711624800000,2024-03-28T11:20:00Z,288-1-1-116,,device_not_recording
1711624860000,2024-03-28T11:21:00Z,288-1-1-116,,device_not_recording
1711624920000,2024-03-28T11:22:00Z,288-1-1-116,,device_not_recording
1711624980000,2024-03-28T11:23:00Z,288-1-1-116,,device_not_recording
1711625040000,2024-03-28T11:24:00Z,288-1-1-116,,device_not_recording
1711625100000,2024-03-28T11:25:00Z,288-1-1-116,,device_not_recording
1711625160000,2024-03-28T11:26:00Z,288-1-1-116,,device_not_recording
1711625220000,2024-03-28T11:27:00Z,288-1-1-116,,device_not_recording
1711625280000,2024-03-28T11:28:00Z,288-1-1-116,,device_not_recording
1711625340000,2024-03-28T11:29:00Z,288-1-1-116,,device_not_recording
1711625400000,2024-03-28T11:30:00Z,288-1-1-116,,device_not_recording
1711625460000,2024-03-28T11:31:00Z,288-1-1-116,,device_not_recording
1711625520000,2024-03-28T11:32:00Z,288-1-1-116,,device_not_recording
1711625580000,2024-03-28T11:33:00Z,288-1-1-116,,device_not_recording
1711625640000,2024-03-28T11:34:00Z,288-1-1-116,,device_not_recording
1711625700000,2024-03-28T11:35:00Z,288-1-1-116,,device_not_recording
1711625760000,2024-03-28T11:36:00Z,288-1-1-116,,device_not_recording
1711625820000,2024-03-28T11:37:00Z,288-1-1-116,,device_not_recording
1711625880000,2024-03-28T11:38:00Z,288-1-1-116,,device_not_recording
1711625940000,2024-03-28T11:39:00Z,288-1-1-116,,device_not_recording
1711626000000,2024-03-28T11:40:00Z,288-1-1-116,,device_not_recording
1711626060000,2024-03-28T11:41:00Z,288-1-1-116,,device_not_recording
1711626120000,2024-03-28T11:42:00Z,288-1-1-116,,device_not_recording
1711626180000,2024-03-28T11:43:00Z,288-1-1-116,,device_not_recording
1711626240000,2024-03-28T11:44:00Z,288-1-1-116,,device_not_recording
1711626300000,2024-03-28T11:45:00Z,288-1-1-116,,device_not_recording
1711626360000,2024-03-28T11:46:00Z,288-1-1-116,,device_not_recording
1711626420000,2024-03-28T11:47:00Z,288-1-1-116,,device_not_recording
