timestamp_unix,timestamp_iso,participant_full_id,sleep_detection_stage,missing_value_reason
1703134260000,2023-12-21T04:51:00Z,288-1-1-009,101,
1703134320000,2023-12-21T04:52:00Z,288-1-1-009,102,
1703134380000,2023-12-21T04:53:00Z,288-1-1-009,102,
1703134440000,2023-12-21T04:54:00Z,288-1-1-009,102,
1703134500000,2023-12-21T04:55:00Z,288-1-1-009,102,
1703134560000,2023-12-21T04:56:00Z,288-1-1-009,101,
1703134620000,2023-12-21T04:57:00Z,288-1-1-009,101,
1703134680000,2023-12-21T04:58:00Z,288-1-1-009,101,
1703134740000,2023-12-21T04:59:00Z,288-1-1-009,101,
1703134800000,2023-12-21T05:00:00Z,288-1-1-009,101,
1703134860000,2023-12-21T05:01:00Z,288-1-1-009,101,
1703134920000,2023-12-21T05:02:00Z,288-1-1-009,101,
1703134980000,2023-12-21T05:03:00Z,288-1-1-009,101,
1703135040000,2023-12-21T05:04:00Z,288-1-1-009,101,
1703135100000,2023-12-21T05:05:00Z,288-1-1-009,101,
1703135160000,2023-12-21T05:06:00Z,288-1-1-009,101,
1703135220000,2023-12-21T05:07:00Z,288-1-1-009,101,
1703135280000,2023-12-21T05:08:00Z,288-1-1-009,101,
1703135340000,2023-12-21T05:09:00Z,288-1-1-009,102,
1703135400000,2023-12-21T05:10:00Z,288-1-1-009,102,
1703135460000,2023-12-21T05:11:00Z,288-1-1-009,102,
1703135520000,2023-12-21T05:12:00Z,288-1-1-009,102,
1703135580000,2023-12-21T05:13:00Z,288-1-1-009,102,
1703135640000,2023-12-21T05:14:00Z,288-1-1-009,102,
1703135700000,2023-12-21T05:15:00Z,288-1-1-009,102,
1703135760000,2023-12-21T05:16:00Z,288-1-1-009,102,
1703135820000,2023-12-21T05:17:00Z,288-1-1-009,102,
1703135880000,2023-12-21T05:18:00Z,288-1-1-009,101,
1703135940000,2023-12-21T05:19:00Z,288-1-1-009,101,
1703136000000,2023-12-21T05:20:00Z,288-1-1-009,101,
1703136060000,2023-12-21T05:21:00Z,288-1-1-009,101,
1703136120000,2023-12-21T05:22:00Z,288-1-1-009,101,
1703136180000,2023-12-21T05:23:00Z,288-1-1-009,101,
1703136240000,2023-12-21T05:24:00Z,288-1-1-009,101,
1703136300000,2023-12-21T05:25:00Z,288-1-1-009,101,
1703136360000,2023-12-21T05:26:00Z,288-1-1-009,101,
1703136420000,2023-12-21T05:27:00Z,288-1-1-009,102,
1703136480000,2023-12-21T05:28:00Z,288-1-1-009,102,
1703136540000,2023-12-21T05:29:00Z,288-1-1-009,102,
1703136600000,2023-12-21T05:30:00Z,288-1-1-009,102,
1703136660000,2023-12-21T05:31:00Z,288-1-1-009,102,
1703136720000,2023-12-21T05:32:00Z,288-1-1-009,102,
1703136780000,2023-12-21T05:33:00Z,288-1-1-009,102,
1703136840000,2023-12-21T05:34:00Z,288-1-1-009,101,
1703136900000,2023-12-21T05:35:00Z,288-1-1-009,101,
1703136960000,2023-12-21T05:36:00Z,288-1-1-009,102,
1703137020000,2023-12-21T05:37:00Z,288-1-1-009,101,
1703137080000,2023-12-21T05:38:00Z,288-1-1-009,101,
1703137140000,2023-12-21T05:39:00Z,288-1-1-009,102,
1703137200000,2023-12-21T05:40:00Z,288-1-1-009,102,
1703137260000,2023-12-21T05:41:00Z,288-1-1-009,102,
1703137320000,2023-12-21T05:42:00Z,288-1-1-009,102,
1703137380000,2023-12-21T05:43:00Z,288-1-1-009,102,
1703137440000,2023-12-21T05:44:00Z,288-1-1-009,102,
1703137500000,2023-12-21T05:45:00Z,288-1-1-009,102,
1703137560000,2023-12-21T05:46:00Z,288-1-1-009,102,
1703137620000,2023-12-21T05:47:00Z,288-1-1-009,102,
1703137680000,2023-12-21T05:48:00Z,288-1-1-009,101,
1703137740000,2023-12-21T05:49:00Z,288-1-1-009,101,
1703137800000,2023-12-21T05:50:00Z,288-1-1-009,102,
1703137860000,2023-12-21T05:51:00Z,288-1-1-009,102,
1703137920000,2023-12-21T05:52:00Z,288-1-1-009,102,
1703137980000,2023-12-21T05:53:00Z,288-1-1-009,101,
1703138040000,2023-12-21T05:54:00Z,288-1-1-009,101,
1703138100000,2023-12-21T05:55:00Z,288-1-1-009,0,
1703138160000,2023-12-21T05:56:00Z,288-1-1-009,0,
1703138220000,2023-12-21T05:57:00Z,288-1-1-009,0,
1703138280000,2023-12-21T05:58:00Z,288-1-1-009,0,
1703138340000,2023-12-21T05:59:00Z,288-1-1-009,0,
1703138400000,2023-12-21T06:00:00Z,288-1-1-009,0,
1703138460000,2023-12-21T06:01:00Z,288-1-1-009,0,
1703138520000,2023-12-21T06:02:00Z,288-1-1-009,0,
1703138580000,2023-12-21T06:03:00Z,288-1-1-009,0,
1703138640000,2023-12-21T06:04:00Z,288-1-1-009,0,
1703138700000,2023-12-21T06:05:00Z,288-1-1-009,0,
1703138760000,2023-12-21T06:06:00Z,288-1-1-009,0,
1703138820000,2023-12-21T06:07:00Z,288-1-1-009,0,
1703138880000,2023-12-21T06:08:00Z,288-1-1-009,0,
1703138940000,2023-12-21T06:09:00Z,288-1-1-009,0,
1703139000000,2023-12-21T06:10:00Z,288-1-1-009,0,
1703139060000,2023-12-21T06:11:00Z,288-1-1-009,0,
1703139120000,2023-12-21T06:12:00Z,288-1-1-009,0,
1703139180000,2023-12-21T06:13:00Z,288-1-1-009,0,
1703139240000,2023-12-21T06:14:00Z,288-1-1-009,0,
1703139300000,2023-12-21T06:15:00Z,288-1-1-009,0,
1703139360000,2023-12-21T06:16:00Z,288-1-1-009,0,
1703139420000,2023-12-21T06:17:00Z,288-1-1-009,0,
1703139480000,2023-12-21T06:18:00Z,288-1-1-009,0,
1703139540000,2023-12-21T06:19:00Z,288-1-1-009,0,
1703139600000,2023-12-21T06:20:00Z,288-1-1-009,0,
1703139660000,2023-12-21T06:21:00Z,288-1-1-009,0,
1703139720000,2023-12-21T06:22:00Z,288-1-1-009,0,
1703139780000,2023-12-21T06:23:00Z,288-1-1-009,0,
1703139840000,2023-12-21T06:24:00Z,288-1-1-009,0,
1703139900000,2023-12-21T06:25:00Z,288-1-1-009,0,
1703139960000,2023-12-21T06:26:00Z,288-1-1-009,0,
1703140020000,2023-12-21T06:27:00Z,288-1-1-009,0,
1703140080000,2023-12-21T06:28:00Z,288-1-1-009,0,
1703140140000,2023-12-21T06:29:00Z,288-1-1-009,0,
1703140200000,2023-12-21T06:30:00Z,288-1-1-009,0,
1703140260000,2023-12-21T06:31:00Z,288-1-1-009,0,
1703140320000,2023-12-21T06:32:00Z,288-1-1-009,0,
1703140380000,2023-12-21T06:33:00Z,288-1-1-009,0,
1703140440000,2023-12-21T06:34:00Z,288-1-1-009,0,
1703140500000,2023-12-21T06:35:00Z,288-1-1-009,0,
1703140560000,2023-12-21T06:36:00Z,288-1-1-009,0,
1703140620000,2023-12-21T06:37:00Z,288-1-1-009,0,
1703140680000,2023-12-21T06:38:00Z,288-1-1-009,0,
1703140740000,2023-12-21T06:39:00Z,288-1-1-009,0,
1703140800000,2023-12-21T06:40:00Z,288-1-1-009,0,
1703140860000,2023-12-21T06:41:00Z,288-1-1-009,0,
1703140920000,2023-12-21T06:42:00Z,288-1-1-009,0,
1703140980000,2023-12-21T06:43:00Z,288-1-1-009,0,
1703141040000,2023-12-21T06:44:00Z,288-1-1-009,0,
1703141100000,2023-12-21T06:45:00Z,288-1-1-009,0,
1703141160000,2023-12-21T06:46:00Z,288-1-1-009,0,
1703141220000,2023-12-21T06:47:00Z,288-1-1-009,0,
