timestamp_unix,timestamp_iso,participant_full_id,pulse_rate_bpm,missing_value_reason
1710140340000,2024-03-11T06:59:00Z,288-1-1-114,61,
1710140400000,2024-03-11T07:00:00Z,288-1-1-114,70,
1710140460000,2024-03-11T07:01:00Z,288-1-1-114,89,
1710140520000,2024-03-11T07:02:00Z,288-1-1-114,100,
1710140580000,2024-03-11T07:03:00Z,288-1-1-114,102,
1710140640000,2024-03-11T07:04:00Z,288-1-1-114,95,
1710140700000,2024-03-11T07:05:00Z,288-1-1-114,96,
1710140760000,2024-03-11T07:06:00Z,288-1-1-114,106,
1710140820000,2024-03-11T07:07:00Z,288-1-1-114,97,
1710140880000,2024-03-11T07:08:00Z,288-1-1-114,89,
