timestamp_unix,timestamp_iso,participant_full_id,eda_scl_usiemens,missing_value_reason
1709962860000,2024-03-09T05:41:00Z,288-1-1-114,,device_not_recording
1709962920000,2024-03-09T05:42:00Z,288-1-1-114,,device_not_recording
1709962980000,2024-03-09T05:43:00Z,288-1-1-114,,device_not_recording
1709963040000,2024-03-09T05:44:00Z,288-1-1-114,0.0,
1709963100000,2024-03-09T05:45:00Z,288-1-1-114,1.04,
1709963160000,2024-03-09T05:46:00Z,288-1-1-114,2.5,
1709963220000,2024-03-09T05:47:00Z,288-1-1-114,1.93,
1709963280000,2024-03-09T05:48:00Z,288-1-1-114,1.12,
1709963340000,2024-03-09T05:49:00Z,288-1-1-114,0.97,
1709963400000,2024-03-09T05:50:00Z,288-1-1-114,1.01,
1709963460000,2024-03-09T05:51:00Z,288-1-1-114,0.93,
1709963520000,2024-03-09T05:52:00Z,288-1-1-114,0.88,
1709963580000,2024-03-09T05:53:00Z,288-1-1-114,0.82,
1709963640000,2024-03-09T05:54:00Z,288-1-1-114,0.77,
1709963700000,2024-03-09T05:55:00Z,288-1-1-114,0.74,
1709963760000,2024-03-09T05:56:00Z,288-1-1-114,0.72,
1709963820000,2024-03-09T05:57:00Z,288-1-1-114,0.68,
1709963880000,2024-03-09T05:58:00Z,288-1-1-114,0.66,
1709963940000,2024-03-09T05:59:00Z,288-1-1-114,0.66,
1709964000000,2024-03-09T06:00:00Z,288-1-1-114,0.65,
1709964060000,2024-03-09T06:01:00Z,288-1-1-114,0.64,
1709964120000,2024-03-09T06:02:00Z,288-1-1-114,0.64,
1709964180000,2024-03-09T06:03:00Z,288-1-1-114,0.63,
1709964240000,2024-03-09T06:04:00Z,288-1-1-114,0.59,
1709964300000,2024-03-09T06:05:00Z,288-1-1-114,0.6,
1709964360000,2024-03-09T06:06:00Z,288-1-1-114,0.6,
1709964420000,2024-03-09T06:07:00Z,288-1-1-114,0.6,
1709964480000,2024-03-09T06:08:00Z,288-1-1-114,0.59,
1709964540000,2024-03-09T06:09:00Z,288-1-1-114,0.61,
1709964600000,2024-03-09T06:10:00Z,288-1-1-114,0.52,
1709964660000,2024-03-09T06:11:00Z,288-1-1-114,0.17,
1709964720000,2024-03-09T06:12:00Z,288-1-1-114,0.23,
1709964780000,2024-03-09T06:13:00Z,288-1-1-114,0.21,
1709964840000,2024-03-09T06:14:00Z,288-1-1-114,0.19,
1709964900000,2024-03-09T06:15:00Z,288-1-1-114,0.06,
1709964960000,2024-03-09T06:16:00Z,288-1-1-114,0.12,
1709965020000,2024-03-09T06:17:00Z,288-1-1-114,0.13,
1709965080000,2024-03-09T06:18:00Z,288-1-1-114,0.12,
1709965140000,2024-03-09T06:19:00Z,288-1-1-114,0.15,
1709965200000,2024-03-09T06:20:00Z,288-1-1-114,0.15,
1709965260000,2024-03-09T06:21:00Z,288-1-1-114,0.16,
1709965320000,2024-03-09T06:22:00Z,288-1-1-114,0.16,
1709965380000,2024-03-09T06:23:00Z,288-1-1-114,0.15,
1709965440000,2024-03-09T06:24:00Z,288-1-1-114,0.15,
1709965500000,2024-03-09T06:25:00Z,288-1-1-114,0.14,
1709965560000,2024-03-09T06:26:00Z,288-1-1-114,0.11,
1709965620000,2024-03-09T06:27:00Z,288-1-1-114,0.12,
1709965680000,2024-03-09T06:28:00Z,288-1-1-114,0.14,
1709965740000,2024-03-09T06:29:00Z,288-1-1-114,0.15,
1709965800000,2024-03-09T06:30:00Z,288-1-1-114,0.15,
1709965860000,2024-03-09T06:31:00Z,288-1-1-114,0.16,
1709965920000,2024-03-09T06:32:00Z,288-1-1-114,0.16,
1709965980000,2024-03-09T06:33:00Z,288-1-1-114,0.17,
1709966040000,2024-03-09T06:34:00Z,288-1-1-114,0.18,
1709966100000,2024-03-09T06:35:00Z,288-1-1-114,0.18,
1709966160000,2024-03-09T06:36:00Z,288-1-1-114,0.21,
1709966220000,2024-03-09T06:37:00Z,288-1-1-114,0.22,
